stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
HI,Hawaii,No,NA,NA,NA,NA,NA,NA,"570; 50 anatomy/physiology/kinesiology, 100 massage theory and procedures, 420 as an apprentice or in a school with 310 intern hours and a split of sanitation, record keeping, office procedures, and advanced techniques",NA,NA,yes,yes,yes,50,NA,NA,1,NA,NA,NA,NA,NA,yes,NA,369,32.79268293,81461.5,574836.5625,80212,1420491,2,24.3,24.3,0.2,37.6,10.2,10.7,561,12.72828096,26474.8244,708,115.1694915,239552.5424,205,NA,NA,98,14,29120,748,23.10920455,48067.14545,731,15.410171,32053.15568,70,23.28571429,48434.28571,741,15.74844804,32756.77193,666,31.34744745,65202.69069,603,37.41300898,77819.05867,505,50.60384615,105256,603,16.90433673,77819.05867,582,14.5,30160,635,46,95680,285,104.0263158,216374.7368,751,22.20106525,46178.21571,681,48.90528634,197240.8708,74,75,156000,1369,342,1453,1321,1315,1420,1380,1501,203,76,2692.955882,4772,2743.757353
ID,Idaho,"Yes;  by endorsement, $125 instead of $115, proof of state licensed and similar state requirements",yes,NA,NA,NA,NA,NA,"500; 200 massage practice of assessment and application, 125 anatomy/physiology/kinesiology, 40 pathology, 20 business/ethics, 110 clinical applications","yes, if new applicant and not being endorsed out of state",NA,yes,yes,yes,115,NA,NA,NA,12 weeks,NA,"6 anually, 1 in ethics","1, expires anually on applicant's birthday",NA,yes,yes,287,37.79255319,30000,238004.3333,55583,1754208,0.7,89.9,3,1.3,1.5,0.2,12.7,646,10.99729102,22874.36533,690,100,208000,180,21.00757576,43695.75758,331,13.67467949,28443.33333,776,14.05592784,29236.3299,641,14.03673947,29196.4181,25,18.2,37856,716,14.96939246,31136.33631,570,32.5,67600,400,27.59470513,57396.98667,260,NA,NA,400,17.08860759,57396.98667,165,22.95454545,47745.45455,598,37.73156134,78481.64758,235,24,49920,301,11.43402778,23782.77778,703,57.37532006,213324.6269,105,17.92857143,37291.42857,1132,334,1138,683,779,980,807,1390,375,85,1265.576923,1501.809524,1354.070513
IL,Illinois,Yes; by endorsement ,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,NA,175,NA,NA,NA,NA,NA,NA,NA,yes,yes,506,37.31012974,55408.6269,202689.3299,65030,12741080,14.1,71.7,2.7,0.3,5.6,0,17.3,713,11.59004208,24107.28752,722,99.97922438,207956.7867,463,36.47281324,75863.45154,450,17.13023256,35630.88372,783,17.68239464,36779.38084,734,17.17404632,35722.01635,224,18.90904018,39330.80357,729,16.63152949,34593.58134,697,34.19745337,71130.70301,504,26.26400349,54629.12725,515,32.5182383,67637.93567,504,18.98396794,54629.12725,418,28.44745223,59170.70064,680,38.94240838,81000.20942,479,37.8908944,78813.06034,463,26.60347682,55335.23179,740,73.70393919,137330.0135,374,36.22844828,75355.17241,1458,997,1438,1085,1257,1266,1161,1815,893,260,2078.444444,3253.582609,2580.748016
IN,Indiana,No,yes,NA,yes,yes,yes,NA,625; 500 before 7/1/2019,yes; and state exam,NA,yes,yes,yes,100,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,426,39.39111922,74400.82071,125366.6875,55746,6691878,9.5,82.8,2.7,0.2,2.3,0.1,7.1,715,10.54615385,21936,722,100.498615,209037.1191,401,21.71653543,45170.3937,395,14.83989501,30866.98163,807,16.79026642,34923.75415,736,16.10139266,33490.89674,151,18.63245033,38755.49669,740,14.63615541,30443.20324,649,34.64079353,72052.85054,446,28.17898307,58612.28478,440,40.76630717,84793.91892,446,16.81632653,58612.28478,338,62.5,130000,596,42.57984694,88566.08163,376,32.9398827,68514.95601,435,19.48517442,40529.16279,752,46.01288564,154635.0352,298,59.33453237,123415.8273,1257,657,1287,999,1158,1192,1141,1506,662,312,1117.933775,1540.632959,1297.054636
IA,Iowa,No,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,347,30.99279539,45784.689,129324.619,55955,3156145,3.6,90.2,2.2,0.4,2.5,0.1,6.1,733,11.02943383,22941.22237,729,84.32098765,175387.6543,296,27.87162162,57972.97297,421,13.87290168,28855.63549,761,17.55330486,36510.87411,722,17.99581717,37431.29972,5,NA,NA,708,15.72210452,32701.9774,615,32.5,67600,300,24.4767734,50911.68868,343,NA,NA,300,18.11375,50911.68868,45,62.5,130000,424,35.035,72872.8,100,NA,NA,341,27.85008306,57928.17276,725,43.85344828,153581.5248,48,53.07142857,110388.5714,1352,301,1223,967,981,980,956,1479,514,201,1131.34555,1415.985714,1228.36911
KS,Kansas,No,yes,NA,NA,yes,yes,NA,500;,yes; state written exam required and MBLEX,NA,yes,yes,yes,NA,75,75,NA,NA,NA,no,2,NA,yes,yes,505,36.23768473,46089.87172,152226.6338,58218,2911510,5.9,84,3.7,0.9,2.8,0.1,12,721,10.82656033,22519.24549,705,99.89361702,207778.7234,490,30.92653061,64327.18367,462,14.39715536,29946.08315,789,18.46759823,38412.60431,722,14.25618421,29652.86316,67,15.32258065,31870.96774,740,18.06055405,37565.95243,671,31.32898659,65164.2921,486,24.52655846,51015.2416,431,41.38677885,86084.5,486,19.10214286,51015.2416,170,50.27941176,104581.1765,681,33.53932584,69761.79775,427,17.22580645,35829.67742,364,22.21942446,46216.40288,782,29.87595908,170195.6611,226,57.5273224,119656.8306,1248,558,1207,977,1039,1044,1069,4269,808,467,1126.81441,1494.040541,1266.10917
KY,Kentucky,No,yes,NA,yes,NA,NA,NA,"600; 125 anatomy/physiology, 200 massage/bodywork theory & technique, 200 business of massage therapy, 40 pathology, 35 at school discretion /electives",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,439,37.22580645,74662.41262,193124.3167,50247,4468402,7.9,86.7,2.4,0.2,1.5,0.1,3.6,707,10.94183168,22759.0099,717,83.0334728,172709.6234,328,33.25,69160,473,13.40178571,27875.71429,796,16.83898869,35025.09648,736,14.24641984,29632.55326,135,14.57407407,30314.07407,745,15.81832886,32902.12403,645,30.90155039,64275.22481,515,29.78601538,61954.912,270,25.48678413,53012.51099,515,17.74521569,61954.912,260,19,39520,671,48.499307,100878.5586,324,25.99064626,54060.54422,285,18.7587907,39018.28465,728,47.12190934,195093.024,200,55,114400,1075,276,1100,943,1012,915,940,4246,567,257,1112.381526,1599.285714,1293.060241
LA,Louisiana,"Yes; by endorsements; (see notes1 for item numbers)  If you have a current massage therapy license from another state which has been active for more than one year, you may be eligible for a Louisiana license through reciprocity. If seeking licensure in Louisiana through reciprocity, the education requirements of item 4 and National Exam requirements of Item 5 above are modified. Compliance with items 1, 2, 3 and 6 are required and in addition the following information must be provided:
A completed license verification from each state in which you have been issued a license. The applicant should contact each state board office to request the verification(s) of current or prior licensure be sent directly to LBMT, 2645 O'Neal Lane, bldg. C, Ste. E, Baton Rouge, LA  70816.
Documentation of passing a National Exam and/or MBLEx must be provided directly from the testing agency. Details relating to the exam (item #8, page 4), must be completed.
Official, original and certified transcript showing compliance with the educational requirements of the licensing state.",yes,NA,yes,NA,NA,NA,"500; 325 massage/bodywork theory and application, 125 anatomy/physiology, 50 electives/school expectations on ethics/business/CPR/discretionary course work",yes,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,159,28,73947.76119,141609.8615,47905,4659978,32.4,61.7,2.3,0.6,1.6,0,5.1,705,10.74112766,22341.54553,730,93.21917808,193895.8904,247,15.5951417,32437.89474,175,11.703125,24342.5,736,15.6584375,32569.55,713,13.00262272,27045.45526,26,26,54080,708,13.28972458,27642.62712,603,33.52985075,69742.08955,328,41.57979215,86485.96768,149,70.1125,145834,328,13.79204778,86485.96768,80,NA,NA,537,47.82808023,99482.40688,310,16.24431818,33788.18182,316,16.17171329,33637.16364,726,48.82059229,198411.1164,31,12.5,26000,1149,346,1254,989,1096,950,1010,4698,528,394,1096.628571,1454.095745,1217.538961
ME,Maine,No,yes,NA,NA,NA,NA,NA,"500; 120 anatomy/physiology/pathology, 100 clinical, and others in massage theory/practice, business, ethics, contraindications, etc.",yes,NA,yes,yes,yes,61,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,185,36.31818182,NA,301941.2667,55602,1338404,1.4,94.3,2.2,0.6,1.2,0,1.7,707,12.84441301,26716.37907,736,114.6637228,238500.5435,180,16.16666667,33626.66667,509,13.92583497,28965.73674,791,16.99134008,35341.98736,731,17.54173735,36486.81368,40,NA,NA,735,16.33870748,33984.51156,700,30.04857143,62501.02857,355,25.24038462,52500,160,72.8125,151450,355,17.35393939,52500,55,NA,NA,560,38.67754569,80449.29504,210,18,37440,689,15.62423417,32498.40707,724,54.4556768,260118.3004,35,NA,NA,986,251,1207,712,950,1009,1046,2921,562,25,2029.272727,2323.888889,2103.5
MD,Maryland,No,yes,yes,yes,yes,yes,yes,600;,yes,NA,yes,yes,yes,300,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,758,52.33641161,56071.75036,207428.6596,83242,6042718,30,54.7,3.7,0.2,6.3,0.1,10.4,725,13.41241379,27897.82069,719,112.1279555,233226.1474,696,35.05585489,72916.17816,678,16.79682891,34937.40413,790,19.18962025,39914.41013,794,18.19051637,37836.27406,588,19.20748299,39951.56463,757,20.29356011,42210.60502,1507,33.28445587,69231.66821,751,35.88131978,74633.14514,791,61.42351484,127760.9109,751,21.36223702,74633.14514,641,56.12380192,116737.508,732,49.01960784,101960.7843,693,38.59379509,80275.0938,521,16.91372141,35180.54054,776,34.96391753,128448.7738,569,56.60469314,117737.7617,1462,1381,1478,1436,1458,1439,1470,3016,1753,373,1803.099174,2638.509146,2172.334711
MA,Massachusetts,No,yes,NA,yes,NA,NA,NA,"550; 100 anatomy, 45 kinesiology, 45 pathology, 300 massage theory/practice, 60 ethics/professionalism, 100 intern/hands on training",NA,NA,yes,yes,yes,225,NA,NA,NA,6 weeks,1,NA,NA,yes,yes,NA,751,38.5412783,52829.16837,537437.7534,79835,6902149,7.8,77.3,3.4,0.2,6.8,0,12.3,742,14.04969677,29223.36927,700,117.8928571,245217.1429,767,40.48500652,84208.81356,672,19.89285714,41377.14286,809,20.06406675,41733.25884,796,22.80100503,47426.09045,488,23.5204918,48922.62295,754,20.89091512,43453.10345,1452,38.4520489,79980.26171,726,32.45702502,67510.61204,686,76.15773566,158408.0902,726,25.78088843,67510.61204,485,57.53092784,119664.3299,791,56.05799621,116600.6321,648,28.35802469,58984.69136,280,22,45760,782,22.49200767,95544.35038,489,56.34861407,117205.1173,1542,1113,1512,1476,1500,1500,1521,3043,1598,237,3233.069565,5166.38674,4002.858696
MI,Michigan,No,NA,NA,NA,NA,NA,NA,"500; 200 massage practice/theory, 125 body systems/anatomy/kinesiology, 40 pathology, 6 ethics, 4 business, 40 intern",yes,NA,yes,yes,yes,95,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,735,35.39965986,55000,107764.5833,56697,9995915,13.8,78.3,2.9,0.5,3.3,0,5.2,792,12.79646465,26616.64646,716,118.1634078,245779.8883,530,27.77264151,57767.09434,653,17.54517611,36493.96631,802,20.61721945,42883.81646,777,17.52895753,36460.23166,101,14.70930233,30595.34884,754,16.97732095,35312.82759,1448,25.64197169,53335.3011,658,38.75139488,80602.90135,525,50.00577134,104012.0044,658,16.75075988,80602.90135,225,26.22727273,54552.72727,701,42.6108871,88630.64516,562,28.84074733,59988.75445,307,17.43085106,36256.17021,771,28.93223087,169837.8729,338,21.33727811,44381.53846,1601,1063,1515,1426,1499,1458,1433,3022,1130,259,1449.60241,1961.560386,1663.034137
