stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
HI,Hawaii,NA,NA,NA,NA,NA,NA,NA,"570; 50 anatomy/physiology/kinesiology, 100 massage theory and procedures, 420 as an apprentice or in a school with 310 intern hours and a split of sanitation, record keeping, office procedures, and advanced techniques",NA,NA,yes,yes,yes,50,NA,NA,1,NA,NA,NA,NA,NA,yes,NA,280,31,81461.5,574836.5625,80212,1420491,2,24.3,24.3,0.2,37.6,10.2,10.7,524,12.61526718,26239.75573,771,38.43709468,79949.15694,165,NA,NA,151,14.03311258,29188.87417,760,22.34046711,46468.17158,619,16.74212439,34823.61874,237,12.65822785,26329.11392,760,19.1375,39806,629,20.55961844,42764.00636,608,38.59144786,80270.21154,496,50.60384615,105256,811,40.98402589,96387.51541,608,15.95362563,80270.21154,80,24,49920,639,46,95680,285,104.0263158,216374.7368,168,29.0625,60450,646,23.94272446,214006.7245,111,75,156000,1373,350,1454,1319,1313,1420,1383,1501,211,79,2642.295775,4816,2691.43662
ID,Idaho,"Yes, by endorsement, $125 instead of $115, proof of state licensed and similar state requirements",yes,NA,NA,NA,NA,NA,"500; 200 massage practice of assessment and application, 125 anatomy/physiology/kinesiology, 40 pathology, 20 business/ethics, 110 clinical applications","yes, if new applicant and not being endorsed out of state",NA,yes,yes,yes,115,NA,NA,NA,12 weeks,NA,"6 anually, 1 in ethics","1, expires anually on applicant's birthday",NA,yes,yes,318,37.55591054,30000,238004.3333,55583,1754208,0.7,89.9,3,1.3,1.5,0.2,12.7,671,9.996274218,20792.25037,776,37.89175258,78814.84536,160,20.80172414,43267.58621,379,15.26880223,31759.10864,754,14.22352122,29584.92414,494,14.31480198,29774.78812,180,14.2375,29614,763,15.81322412,32891.50616,554,18.96299639,39443.03249,423,27.64886414,57509.6374,231,NA,NA,794,47.57807305,89906.35436,423,15.75358852,57509.6374,205,25.07692308,52160,549,37.4332,77861.056,235,20.625,42900,299,25.36607143,52761.42857,670,25.08664179,196058.9552,120,58.485,121648.8,1141,331,1153,674,773,981,807,1392,373,86,1266.177215,1477.174603,1347.71519
IL,Illinois,"Yes, by endorsement ",yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,NA,175,NA,NA,NA,NA,NA,NA,NA,yes,yes,511,38.74486301,51722.61513,202689.3299,65030,12741080,14.1,71.7,2.7,0.3,5.6,0,17.3,708,11.95512006,24866.64972,783,39.61430396,82397.75223,483,37.51897321,78039.46429,462,16.82713348,35000.43764,791,18.29298357,38049.40582,623,14.67335474,30520.57785,437,19.75514874,41090.70938,769,18.30511053,38074.62991,679,27.93740795,58109.80854,523,25.93103448,53936.55172,497,32.42914995,67452.6319,844,34.69116114,81347.59212,523,18.43204868,53936.55172,505,29.60918367,61587.10204,643,37.07816092,77122.57471,480,33.39659091,69464.90909,466,21.57648026,44879.07895,747,34.88888889,97743.16466,401,35.13342697,73077.52809,1456,1001,1443,1075,1252,1266,1162,1516,892,260,2086.440476,3210.279476,2566.097222
IN,Indiana,NA,yes,NA,yes,yes,yes,NA,625; 500 before 7/1/2019,yes; and state exam,NA,yes,yes,yes,100,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,381,38.37067819,68365.20528,125366.6875,55746,6691878,9.5,82.8,2.7,0.2,2.3,0.1,7.1,729,10.48755144,21814.107,780,42.71474359,88846.66667,404,22.19954427,46175.05208,391,14.88031915,30951.06383,760,17.84143421,37110.18316,626,13.2254393,27508.91374,321,16.68224299,34699.06542,771,18.56598573,38617.25032,660,24.32424242,50594.42424,481,28.99568793,60311.0309,424,39.13101944,81392.52044,840,40.87932143,71065.16865,481,15.03361345,60311.0309,352,29.95225155,62300.68323,599,46.31174528,96328.43019,406,33.43264249,69539.89637,485,23.89041667,49692.06667,726,25.49741047,164859.8581,324,59.49013158,123739.4737,1259,639,1289,996,1153,1196,1145,1514,662,310,1122.256667,1564.8,1304.478333
IA,Iowa,NA,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,355,34.12575758,45363.20755,129324.619,55955,3156145,3.6,90.2,2.2,0.4,2.5,0.1,6.1,670,10.95858209,22793.85075,781,44.70614597,92988.78361,317,28.15960912,58571.98697,405,12.85648148,26741.48148,768,17.90858724,37249.86146,627,15.41358144,32060.24939,165,14.53030303,30223.0303,759,17.87580369,37181.67167,625,15.8408,32948.864,255,24.13609861,50203.08511,280,NA,NA,832,30.05779447,84455.64423,255,19,50203.08511,160,16.56666667,34458.66667,462,35.035,72872.8,110,18,37440,364,27.50311728,57206.48395,743,20.50067295,162868.4859,75,58.98,122678.4,1364,306,1228,959,975,980,953,1479,514,199,1142.677249,1410.915493,1236.730159
KS,Kansas,NA,yes,NA,NA,yes,yes,NA,500;,yes; state written exam required and MBLEX,NA,yes,yes,yes,NA,75,75,NA,NA,NA,no,2,NA,yes,yes,473,36.16875,46622.73611,152226.6338,58218,2911510,5.9,84,3.7,0.9,2.8,0.1,12,692,10.81069364,22486.24277,750,44.70266667,92981.54667,486,26.9526749,56061.56379,478,14.63689218,30444.73573,772,17.49415803,36387.8487,576,17.01194444,35384.84444,247,14.03846154,29200,774,17.70189276,36819.93695,605,17.97438017,37386.71074,477,22.59899915,47005.91824,383,41.38677885,86084.5,833,29.7280012,83565.0114,477,20.80017632,47005.91824,196,15.75,32760,660,30.4580574,63352.75938,466,19.37408759,40298.10219,394,23.98993289,49899.0604,749,16.3870227,186849.6469,266,62.5,130000,1247,566,1207,973,1033,1044,1071,1427,806,456,1127.102908,1492.797814,1267.241611
KY,Kentucky,NA,yes,NA,yes,NA,NA,NA,"600; 125 anatomy/physiology, 200 massage/bodywork theory & technique, 200 business of massage therapy, 40 pathology, 35 at school discretion /electives",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,539,39.50655431,76753.04789,193124.3167,50247,4468402,7.9,86.7,2.4,0.2,1.5,0.1,3.6,712,10.82988062,22526.15169,762,44.75065617,93081.36483,332,34.41025641,71573.33333,380,14.29099678,29725.27331,770,16.7832013,34909.0587,607,12.66976936,26353.12026,374,14.8736631,30937.21925,768,16.9950651,35349.73542,619,18.20476575,37865.91276,448,28.49434125,59268.22979,253,24.4741701,50906.27381,818,38.30591076,79805.21439,448,16.01650113,59268.22979,257,22.74369748,47306.89076,647,49.69425039,103364.0408,317,25.5432363,53129.93151,320,16.86022414,35069.26621,767,32.79563233,187019.3696,254,55.52325581,115488.3721,1072,278,1101,930,1009,916,946,1423,567,257,1106.634538,1607.925373,1290.600402
LA,Louisiana,"ye by endorsements; (see notes1 for item numbers)  If you have a current massage therapy license from another state which has been active for more than one year, you may be eligible for a Louisiana license through reciprocity. If seeking licensure in Louisiana through reciprocity, the education requirements of item 4 and National Exam requirements of Item 5 above are modified. Compliance with items 1, 2, 3 and 6 are required and in addition the following information must be provided:

A completed license verification from each state in which you have been issued a license. The applicant should contact each state board office to request the verification(s) of current or prior licensure be sent directly to LBMT, 2645 O'Neal Lane, bldg. C, Ste. E, Baton Rouge, LA  70816.
Documentation of passing a National Exam and/or MBLEx must be provided directly from the testing agency. Details relating to the exam (item #8, page 4), must be completed.
Official, original and certified transcript showing compliance with the educational requirements of the licensing state.",yes,NA,yes,NA,NA,NA,"500; 325 massage/bodywork theory and application, 125 anatomy/physiology, 50 electives/school expectations on ethics/business/CPR/discretionary course work",yes,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,135,45.5,73022.72727,141609.8615,47905,4659978,32.4,61.7,2.3,0.6,1.6,0,5.1,664,11.12163404,23132.9988,768,44.79882813,93181.5625,205,13.4,27872,174,11.75304878,24446.34146,724,14.82305939,30831.96354,677,12.74002954,26499.26145,72,12.63194444,26274.44444,747,15.45599063,32148.46051,662,20.58459215,42815.95166,333,44.08846154,91704,140,70.1125,145834,817,35.63985312,87283.44614,333,15.48278656,91704,65,15,31200,547,48.43162393,100737.7778,367,17.04693141,35457.61733,347,20.57798165,42802.20183,740,18.69341216,247904.6662,45,62.5,130000,1151,347,1254,980,1090,950,1008,1516,388,391,1089.746073,1429.720848,1210.396597
ME,Maine,NA,yes,NA,NA,NA,NA,NA,"500; 120 anatomy/physiology/pathology, 100 clinical, and others in massage theory/practice, business, ethics, contraindications, etc.",yes,NA,yes,yes,yes,61,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,210,35.56097561,NA,301941.2667,55602,1338404,1.4,94.3,2.2,0.6,1.2,0,1.7,713,13.25105189,27562.18794,784,43.75637755,91013.26531,110,NA,NA,486,15.07296137,31351.75966,775,16.61664516,34562.62194,583,17.91809605,37269.63979,130,13.42307692,27920,789,20.55893536,42762.58555,576,18.67013889,38833.88889,336,27.64423077,57500,144,72.8125,151450,804,31.7969092,78776.88308,336,18.9135514,57500,168,40.10769231,83424,554,38.47413793,80026.2069,218,16,33280,722,24.32935393,50605.05618,729,20.26817558,209685.842,84,62.5,130000,991,252,1206,702,944,1009,1040,1468,281,35,1619.636364,2316.111111,1670.272727
MD,Maryland,NA,yes,yes,yes,yes,yes,yes,600;,yes,NA,yes,yes,yes,300,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,752,48.32047872,56698.50651,207428.6596,83242,6042718,30,54.7,3.7,0.2,6.3,0.1,10.4,725,13.22586207,27509.7931,775,43.39290323,90257.23871,723,41.62067773,86571.00968,680,20.58294118,42812.51765,786,18.77330153,39048.46718,704,14.34421165,29835.96023,667,19.78185907,41146.26687,769,23.5529909,48990.22107,760,41.21851974,85734.52105,735,40.60386872,84456.04694,793,59.04397947,122811.4773,834,44.54354916,100967.5971,735,21.10892517,84456.04694,656,16.31402439,33933.17073,773,57.49212034,119583.6103,682,66.77932551,138900.9971,545,21.9245098,45602.98039,777,33.16666667,144377.7864,599,56.28443239,117071.6194,1463,1392,1474,1435,1459,1439,1472,1509,875,375,1809.561644,2641.536145,2179.165753
MA,Massachusetts,NA,yes,NA,yes,NA,NA,NA,"550; 100 anatomy, 45 kinesiology, 45 pathology, 300 massage theory/practice, 60 ethics/professionalism, 100 intern/hands on training",NA,NA,yes,yes,yes,225,NA,NA,NA,6 weeks,1,NA,NA,yes,yes,NA,732,39.23428962,46904.675,537437.7534,79835,6902149,7.8,77.3,3.4,0.2,6.8,0,12.3,726,13.82782369,28761.87328,772,42.68329016,88781.24352,749,44.99065421,93580.56075,673,19.48718425,40533.34324,798,19.38170426,40313.94486,645,20.26492248,42151.03876,603,22.85489221,47538.17579,781,21.79619078,45336.07682,739,43.62229364,90734.37077,741,32.74211388,68103.59687,698,72.52839654,150859.0648,826,40.03786925,90967.86077,741,23.55921053,68103.59687,444,36.6352657,76201.35266,787,47.02365385,97809.2,652,36.78374233,76510.18405,215,25.77027027,53602.16216,795,31.84544654,114614.6314,464,60.45608108,125748.6486,1542,1123,1520,1474,1502,1500,1523,1522,1273,242,3259.353191,5127.320225,3978.589362
