stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
HI,Hawaii,No,NA,NA,NA,NA,NA,NA,"570; 50 anatomy/physiology/kinesiology, 100 massage theory and procedures, 420 as an apprentice or in a school with 310 intern hours and a split of sanitation, record keeping, office procedures, and advanced techniques",NA,NA,yes,yes,yes,50,NA,NA,1,NA,NA,NA,NA,NA,yes,NA,320,31,81461.5,574836.5625,80212,1420491,2,24.3,24.3,0.2,37.6,10.2,10.7,556,13.12140288,27292.51799,750,52.304,108792.32,165,NA,NA,153,14,29120,762,18.31950787,38104.57638,723,14.73055325,30639.55076,150,15,31200,739,16.59844384,34524.76319,640,20.02507813,41652.1625,600,26.44230769,55000,578,55.20572431,114827.9066,806,37.72068238,78519.67308,600,16.90231092,55000,584,14.5,30160,633,46,95680,280,105.5,219440,761,20.41261498,42458.23916,654,71.98318043,203192.3312,40,NA,NA,40,NA,NA,1369,342,1453,1321,1315,1420,1380,1501,203,70,2770.387097,4728,2824.532258
ID,Idaho,"Yes;  by endorsement, $125 instead of $115, proof of state licensed and similar state requirements",yes,NA,NA,NA,NA,NA,"500; 200 massage practice of assessment and application, 125 anatomy/physiology/kinesiology, 40 pathology, 20 business/ethics, 110 clinical applications","yes, if new applicant and not being endorsed out of state",NA,yes,yes,yes,115,NA,NA,NA,12 weeks,NA,"6 anually, 1 in ethics","1, expires anually on applicant's birthday",NA,yes,yes,311,36.99836601,30000,238004.3333,55583,1754208,0.7,89.9,3,1.3,1.5,0.2,12.7,660,10.9844697,22847.69697,755,47.34503311,98477.66887,195,18.83333333,39173.33333,394,13.91377005,28940.64171,748,15.20843583,31633.54652,604,23.61238938,49113.76991,281,14.94746377,31090.72464,709,15.91872355,33110.94499,487,17.55646817,36517.4538,408,18.86523592,39239.69072,413,64.90384615,135000,797,37.90856336,89982.39749,408,17.03970223,39239.69072,145,23.01724138,47875.86207,535,38.15901879,79370.75908,195,34.23076923,71200,318,15.63461538,32520,710,82.5296338,199813.6095,125,18.4,38272,115,18.08695652,37620.86957,1132,334,1138,683,779,980,807,1390,375,87,1287,1553.046154,1394.841772
IL,Illinois,Yes; by endorsement ,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,NA,175,NA,NA,NA,NA,NA,NA,NA,yes,yes,523,35.72801147,54477.68933,202689.3299,65030,12741080,14.1,71.7,2.7,0.3,5.6,0,17.3,728,12.23897665,25457.07143,744,39.9327957,83060.21505,485,37.66463415,78342.43902,459,17.44646925,36288.65604,789,18.92814322,39370.5379,737,15.13127544,31473.05292,519,20.69171484,43038.76686,737,16.75237449,34844.93894,729,28.11796982,58485.37723,509,26.73116582,55600.8249,530,59.31551289,123376.2668,817,38.01446144,80868.89456,509,20.79764244,55600.8249,431,23.36550633,48600.25316,669,40.10106383,83410.21277,497,37.54261954,78088.64865,555,20.71573876,43088.73662,748,62.67713904,154260.4465,586,27.13129496,56433.09353,405,22.58870968,46984.51613,1458,997,1438,1085,1257,1266,1161,1815,893,262,2071.370079,3225.277533,2556.15748
IN,Indiana,No,yes,NA,yes,yes,yes,NA,625; 500 before 7/1/2019,yes; and state exam,NA,yes,yes,yes,100,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,440,37.48911765,71813.96341,125366.6875,55746,6691878,9.5,82.8,2.7,0.2,2.3,0.1,7.1,711,10.63273558,22116.09001,762,46.4855643,96689.97375,410,28.58947368,59466.10526,379,14.76693767,30715.23035,797,16.76506901,34871.34354,717,15.39996513,32031.92748,443,14.26410835,29669.34537,726,15.56887052,32383.25069,607,26.34431631,54796.17792,431,28.42849346,59131.2664,528,58.7576486,122215.9091,835,34.42829341,67969.70938,431,16.48607889,59131.2664,306,17,35360,643,46.6900463,97115.2963,428,76.62371134,159377.3196,416,16.4404908,34196.22086,753,39.46315405,101405.7171,336,15.76840491,32798.28221,301,23.14453125,48140.625,1257,657,1287,999,1158,1192,1141,1506,662,315,1113.380328,1540.057252,1288.655738
IA,Iowa,No,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,337,30.22439759,44008.47458,129324.619,55955,3156145,3.6,90.2,2.2,0.4,2.5,0.1,6.1,701,11.31597004,23537.21769,747,47.21218206,98201.33869,291,28.15789474,58568.42105,394,12.65970437,26332.18509,767,17.55984355,36524.47458,704,15.11709517,31443.55795,331,16.71148036,34759.87915,741,15.20947368,31635.70526,630,16.54404762,34411.61905,277,22.41565424,46624.56081,460,64.90384615,135000,804,33.1622699,74294.65931,277,16.68237327,46624.56081,40,28.33333333,58933.33333,465,35.035,72872.8,85,NA,NA,417,21.75745033,45255.49669,740,69.20405405,174232.4574,85,NA,NA,55,27.1,56368,1352,301,1223,967,981,980,956,1479,514,204,1139.71134,1424.75,1237.360825
KS,Kansas,No,yes,NA,NA,yes,yes,NA,500;,yes; state written exam required and MBLEX,NA,yes,yes,yes,NA,75,75,NA,NA,NA,no,2,NA,yes,yes,478,30.95011876,45209.06944,152226.6338,58218,2911510,5.9,84,3.7,0.9,2.8,0.1,12,693,11.58982684,24106.83983,760,46.4,96512,472,30.84269068,64152.79661,492,13.62628337,28342.6694,802,16.99056733,35340.38005,677,17.09152142,35550.36455,420,18.67261905,38839.04762,714,17.92420168,37282.3395,665,18.34210526,38151.57895,493,26.6256994,55381.45475,453,64.90384615,135000,813,26.27543665,84460.19496,493,18.71425205,55381.45475,145,22.10344828,45975.17241,660,31.76136364,66063.63636,449,21.55462725,44833.62468,382,22.21103896,46198.96104,758,34.36015831,154489.9644,365,50,104000,230,30,62400,1248,558,1207,977,1039,1044,1069,4269,808,468,1127.660131,1479.311828,1263.553377
KY,Kentucky,No,yes,NA,yes,NA,NA,NA,"600; 125 anatomy/physiology, 200 massage/bodywork theory & technique, 200 business of massage therapy, 40 pathology, 35 at school discretion /electives",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,487,36.97302905,74417.17955,193124.3167,50247,4468402,7.9,86.7,2.4,0.2,1.5,0.1,3.6,706,11.27708924,23456.34561,757,47.32760898,98441.42668,314,36.19713262,75290.03584,490,14.33510638,29817.02128,787,18.43552732,38345.89682,750,17.58666667,36580.26667,481,15.2006237,31617.2973,720,14.53145139,30225.41889,615,21.99044715,45740.13008,511,22.38879641,46568.69654,372,64.90384615,135000,822,27.64020073,115806.2312,511,15.12944664,46568.69654,277,16.40325,34118.76,740,47.45210135,98700.37081,311,27.65547264,57523.38308,337,18.50861301,38497.91507,728,56.28820055,158277.7871,115,53.10526316,110458.9474,202,55,114400,1075,276,1100,943,1012,915,940,4246,567,256,1109.278226,1596.687805,1292.637097
LA,Louisiana,"Yes; by endorsements; (see notes1 for item numbers)  If you have a current massage therapy license from another state which has been active for more than one year, you may be eligible for a Louisiana license through reciprocity. If seeking licensure in Louisiana through reciprocity, the education requirements of item 4 and National Exam requirements of Item 5 above are modified. Compliance with items 1, 2, 3 and 6 are required and in addition the following information must be provided:
A completed license verification from each state in which you have been issued a license. The applicant should contact each state board office to request the verification(s) of current or prior licensure be sent directly to LBMT, 2645 O'Neal Lane, bldg. C, Ste. E, Baton Rouge, LA  70816.
Documentation of passing a National Exam and/or MBLEx must be provided directly from the testing agency. Details relating to the exam (item #8, page 4), must be completed.
Official, original and certified transcript showing compliance with the educational requirements of the licensing state.",yes,NA,yes,NA,NA,NA,"500; 325 massage/bodywork theory and application, 125 anatomy/physiology, 50 electives/school expectations on ethics/business/CPR/discretionary course work",yes,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,177,44.37125749,72478.10219,141609.8615,47905,4659978,32.4,61.7,2.3,0.6,1.6,0,5.1,710,10.72653521,22311.19324,750,43.43733333,90349.65333,190,15.34375,31915,145,12.85714286,26742.85714,745,15.66952349,32592.60886,715,13.73811189,28575.27273,285,18.25,37960,703,14.42976529,30013.91181,609,21.20607553,44108.63711,311,39.74656462,82672.85441,323,64.90384615,135000,812,34.69762931,70397.81413,311,13.76548043,82672.85441,40,NA,NA,561,49.6969697,103369.697,300,20.55654762,42757.61905,556,19.62380218,40817.50853,708,55.37588277,151837.1999,30,19,39520,40,12.5,26000,1149,346,1254,989,1096,950,1010,4698,528,395,1094.619171,1442.284211,1213.448187
ME,Maine,No,yes,NA,NA,NA,NA,NA,"500; 120 anatomy/physiology/pathology, 100 clinical, and others in massage theory/practice, business, ethics, contraindications, etc.",yes,NA,yes,yes,yes,61,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,140,34.48,38500,301941.2667,55602,1338404,1.4,94.3,2.2,0.6,1.2,0,1.7,705,13.39361702,27858.7234,762,46.57939633,96885.14436,155,21.35483871,44418.06452,552,13.76385542,28628.81928,781,18.59122919,38669.75672,687,17.91120815,37255.31295,362,14.40883978,29970.38674,737,15.69687924,32649.50882,629,18.86804452,39245.53259,244,25.24038462,52500,319,65.45755968,136151.7241,817,32.250306,56773.40603,244,17.2224359,52500,59,NA,NA,660,42.59885057,88605.6092,205,17,35360,734,17.57803867,36562.32044,713,64.3013324,180652.0792,60,31,64480,35,NA,NA,986,251,1207,712,950,1009,1046,2921,562,23,1978.105263,2413.571429,2057.210526
MD,Maryland,No,yes,yes,yes,yes,yes,yes,600;,yes,NA,yes,yes,yes,300,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,710,45.93169014,60591.70045,207428.6596,83242,6042718,30,54.7,3.7,0.2,6.3,0.1,10.4,729,12.5994513,26206.85871,762,50.82020997,105706.0367,712,35.50122893,73842.55618,697,16.61549498,34560.22956,780,18.75062821,39001.30667,770,17.27792208,35938.07792,712,22.86376404,47556.62921,756,20.26190476,42144.7619,761,31.58869908,65704.49409,726,29.93376311,62262.22727,806,56.29310251,117089.6532,835,51.4239521,99046.02455,726,20.86224518,62262.22727,654,41.81230887,86969.60245,778,61.36830835,127646.0814,690,32.59202899,67791.42029,541,17.67155425,36756.83284,769,36.09947984,109225.9304,594,31.92887205,66412.05387,568,30.13959854,62690.36496,1462,1381,1478,1436,1458,1439,1470,3016,1753,375,1796.284153,2636.663636,2168.769126
