"city","state","wellness clinic_businessType","todaysDate"
"Tuscaloosa","AL","18. DCH Imaging Services","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","19. West AL Nephrology","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","20. Northport Medical Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","21. North Harbor Pavilion","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","22. Family Medical Clinic","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","23. Fayette Medical Center","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","24. Fayette Veterinary Clinic","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","25. Spine And Sport Chiropractic","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","26. Cancer Care Center Of Tuscaloosa","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","27. Tuskaloosa Internal Medicine LLC","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","28. Davis, Thomas M. Jr MD","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","29. Cardiology Consultants PC","Wed Jul 22 06:27:41 2020"
"Tuscaloosa","AL","30. Medical Associates Of West Alabama","Wed Jul 22 06:27:41 2020"
"Hoover","AL","AdLice Clinics of America -Birmingham","Wed Jul 22 06:27:52 2020"
"Hoover","AL","1. Narrows Health & Wellness Clinic","Wed Jul 22 06:27:52 2020"
"Hoover","AL","2. Maximum Physical Therapy And Sports Wellness","Wed Jul 22 06:27:52 2020"
"Hoover","AL","3. Birmingham Health & Wellness","Wed Jul 22 06:27:52 2020"
"Hoover","AL","4. Renew Health & Wellness","Wed Jul 22 06:27:52 2020"
"Hoover","AL","5. Bariatric Health and Wellness","Wed Jul 22 06:27:52 2020"
"Hoover","AL","6. Mabwa Home Health Care Services","Wed Jul 22 06:27:52 2020"
"Hoover","AL","7. Psych Wellness South LLC","Wed Jul 22 06:27:52 2020"
"Hoover","AL","8. Homeopathy for Wellness","Wed Jul 22 06:27:52 2020"
"Hoover","AL","9. Total Wellness MD","Wed Jul 22 06:27:52 2020"
"Hoover","AL","10. Wellness Within","Wed Jul 22 06:27:52 2020"
"Hoover","AL","11. Heritage Medicine","Wed Jul 22 06:27:52 2020"
"Hoover","AL","12. Mi Bella Wellness Center","Wed Jul 22 06:27:52 2020"
"Hoover","AL","13. Back On Track Chiropractic & Wellness Center","Wed Jul 22 06:27:52 2020"
"Hoover","AL","14. Wells Brian M.D.","Wed Jul 22 06:27:52 2020"
"Hoover","AL","15. Therapy South","Wed Jul 22 06:27:52 2020"
"Hoover","AL","16. Birmingham Neuropsychology","Wed Jul 22 06:27:52 2020"
"Hoover","AL","17. Mayfair Medical Group","Wed Jul 22 06:27:52 2020"
"Hoover","AL","18. Dr Forsythe Cancer Care Center","Wed Jul 22 06:27:52 2020"
"Hoover","AL","19. McCollum, Amy","Wed Jul 22 06:27:52 2020"
"Hoover","AL","20. Dudgeon, Brian","Wed Jul 22 06:27:52 2020"
"Hoover","AL","21. Anderson, Toren","Wed Jul 22 06:27:52 2020"
"Hoover","AL","22. Stone, Jeffery","Wed Jul 22 06:27:52 2020"
"Hoover","AL","23. Petelos, John","Wed Jul 22 06:27:52 2020"
"Hoover","AL","24. Carter, Dan","Wed Jul 22 06:27:52 2020"
"Hoover","AL","25. Sester, Kami","Wed Jul 22 06:27:52 2020"
"Hoover","AL","26. Cosgrove, Annette","Wed Jul 22 06:27:52 2020"
"Hoover","AL","27. Peters, Elizabeth","Wed Jul 22 06:27:52 2020"
"Hoover","AL","28. Dietlein-Cox, Diane","Wed Jul 22 06:27:52 2020"
"Hoover","AL","29. Simpson, John","Wed Jul 22 06:27:52 2020"
"Hoover","AL","30. Smith, H. Tom","Wed Jul 22 06:27:52 2020"
"Dothan","AL","1. Carnes Chiropractic & Wellness Center","Wed Jul 22 06:28:06 2020"
"Dothan","AL","2. Wiregrass Wellness Center","Wed Jul 22 06:28:06 2020"
"Dothan","AL","3. Wiregrass Wellness","Wed Jul 22 06:28:06 2020"
"Dothan","AL","4. Therapy & Wellness Group T","Wed Jul 22 06:28:06 2020"
"Dothan","AL","5. Marianna Health & Wellness, P.A.","Wed Jul 22 06:28:06 2020"
"Dothan","AL","6. Hollowell Chiropractic Clinic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","7. Dr Forsythe Cancer Care Center","Wed Jul 22 06:28:06 2020"
"Dothan","AL","8. Back & Neck Pain Clinic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","9. Southeastern Chiroptractic Associates PC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","10. Advanced Spinal Rehab Center - CLOSED","Wed Jul 22 06:28:06 2020"
"Dothan","AL","11. Runkel Chiropractic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","12. A S Black DR","Wed Jul 22 06:28:06 2020"
"Dothan","AL","13. Thompson, Sonny, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","14. Melissa Anne Fischer","Wed Jul 22 06:28:06 2020"
"Dothan","AL","15. Houston County Chiropractic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","16. Chiropractic Health Institute","Wed Jul 22 06:28:06 2020"
"Dothan","AL","17. Dr. William Cary Alderman, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","18. Kirk Eriksen, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","19. Dr. Michael Kevin Warren, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","20. Garrett Hall, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","21. Dr. George E. Grimsley, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","22. Thompson Chiropractic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","23. Dr. Donald F. Moore, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","24. Family First Chiropractic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","25. True Point Health","Wed Jul 22 06:28:06 2020"
"Dothan","AL","26. Dr. Jeffrey H. Fadil, MD","Wed Jul 22 06:28:06 2020"
"Dothan","AL","27. MedPlus Gentle Chiropractic & Acupuncture","Wed Jul 22 06:28:06 2020"
"Dothan","AL","28. Sanders Thompson Chiropractic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","29. Danzey Chiropractic","Wed Jul 22 06:28:06 2020"
"Dothan","AL","30. McKee, Zachary, DC","Wed Jul 22 06:28:06 2020"
"Dothan","AL","AdChildren's of Alabama","Wed Jul 22 06:28:06 2020"
"Auburn","AL","1. Women & Children First Chiropractic & Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","2. Unity Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","3. Unity Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","4. Alabama Women's Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","5. Meals Chiropractic Clinic","Wed Jul 22 06:28:17 2020"
"Auburn","AL","6. Unity Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","7. Care-Well Pediatrics","Wed Jul 22 06:28:17 2020"
"Auburn","AL","8. Dr. Ryan Overton: St. Francis Integrative Medicine & Wellness","Wed Jul 22 06:28:17 2020"
"Auburn","AL","9. Himes Health and Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","10. Advanced Wellness Chiropractic and Holistic Care Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","11. Feinberg Center For Well-Being","Wed Jul 22 06:28:17 2020"
"Auburn","AL","12. Wellness & Rehab Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","13. Columbus Research & Wellness Institute","Wed Jul 22 06:28:17 2020"
"Auburn","AL","14. Clear Choice Chiropractic and Holistic Wellness Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","15. Wellness Center - CLOSED","Wed Jul 22 06:28:17 2020"
"Auburn","AL","16. Dr Week's Eye Clinic","Wed Jul 22 06:28:17 2020"
"Auburn","AL","17. Auburn Chiropractic Associates","Wed Jul 22 06:28:17 2020"
"Auburn","AL","18. Aldridge Physical Therapy","Wed Jul 22 06:28:17 2020"
"Auburn","AL","19. Tallassee Rehab","Wed Jul 22 06:28:17 2020"
"Auburn","AL","20. QTC Medical Group","Wed Jul 22 06:28:17 2020"
"Auburn","AL","21. Dr Forsythe Cancer Care Center","Wed Jul 22 06:28:17 2020"
"Auburn","AL","AdChildren's of Alabama","Wed Jul 22 06:28:17 2020"
"Decatur","AL","1. Alison Wellness Clinic","Wed Jul 22 06:28:30 2020"
"Decatur","AL","2. Alison Wellness Clinic","Wed Jul 22 06:28:30 2020"
"Decatur","AL","3. Pain 2 Wellness Healthcare","Wed Jul 22 06:28:30 2020"
"Decatur","AL","4. Quick Care Wellness & Pharmacy","Wed Jul 22 06:28:30 2020"
"Decatur","AL","5. Madison Family Care and Wellness Center","Wed Jul 22 06:28:30 2020"
"Decatur","AL","6. Aqua Wellness Spa","Wed Jul 22 06:28:30 2020"
"Decatur","AL","7. Acupuncture & Wellness Center","Wed Jul 22 06:28:30 2020"
"Decatur","AL","8. Bio-Identical Hormones of Huntsville","Wed Jul 22 06:28:30 2020"
"Decatur","AL","9. Health & Well 24","Wed Jul 22 06:28:30 2020"
"Decatur","AL","10. Chiropractic Wellness Depot - CLOSED","Wed Jul 22 06:28:30 2020"
"Decatur","AL","11. Integrative Wellness Center - CLOSED","Wed Jul 22 06:28:30 2020"
"Decatur","AL","12. Chiropractic Health Clinic Of Huntsville","Wed Jul 22 06:28:30 2020"
"Decatur","AL","13. Loren Dr. Hunter N.D. A.D.","Wed Jul 22 06:28:30 2020"
"Decatur","AL","14. HealthSource of Madison, AL","Wed Jul 22 06:28:30 2020"
"Decatur","AL","15. Complete Physical Therapy","Wed Jul 22 06:28:30 2020"
"Decatur","AL","16. Healthsource Chiropractic Of Huntsville-Providence","Wed Jul 22 06:28:30 2020"
"Decatur","AL","17. Dr. Mick, ND, LAc, Acupuncture Natural Health Center","Wed Jul 22 06:28:30 2020"
"Decatur","AL","18. Nesin Therapy Services","Wed Jul 22 06:28:30 2020"
"Decatur","AL","19. HealthSource Chiropractic and Progressive Rehab","Wed Jul 22 06:28:30 2020"
"Decatur","AL","20. Dr Forsythe Cancer Care Center","Wed Jul 22 06:28:30 2020"
"Decatur","AL","21. Neeley Center For Health - CLOSED","Wed Jul 22 06:28:30 2020"
"Decatur","AL","AdRiver Oaks Family Medicine","Wed Jul 22 06:28:30 2020"
"Decatur","AL","AdHuntsville Cardiothoracic Surgeons","Wed Jul 22 06:28:30 2020"
"Decatur","AL","AdChildren's of Alabama","Wed Jul 22 06:28:30 2020"
"Madison","AL","1. Alison Wellness Clinic","Wed Jul 22 06:28:42 2020"
"Madison","AL","2. Alison Wellness Clinic","Wed Jul 22 06:28:42 2020"
"Madison","AL","3. Pain 2 Wellness Healthcare","Wed Jul 22 06:28:42 2020"
"Madison","AL","4. Quick Care Wellness & Pharmacy","Wed Jul 22 06:28:42 2020"
"Madison","AL","5. Madison Family Care and Wellness Center","Wed Jul 22 06:28:42 2020"
"Madison","AL","6. Acupuncture & Wellness Center","Wed Jul 22 06:28:42 2020"
"Madison","AL","7. Aqua Wellness Spa","Wed Jul 22 06:28:42 2020"
"Madison","AL","8. Bio-Identical Hormones of Huntsville","Wed Jul 22 06:28:42 2020"
"Madison","AL","9. Health & Well 24","Wed Jul 22 06:28:42 2020"
"Madison","AL","10. Therapyplus North-Fitness/Wellness","Wed Jul 22 06:28:42 2020"
"Madison","AL","11. Chiropractic Wellness Depot - CLOSED","Wed Jul 22 06:28:42 2020"
"Madison","AL","12. Integrative Wellness Center - CLOSED","Wed Jul 22 06:28:42 2020"
"Madison","AL","13. Chiropractic Health Clinic Of Huntsville","Wed Jul 22 06:28:42 2020"
"Madison","AL","14. HealthSource of Madison, AL","Wed Jul 22 06:28:42 2020"
"Madison","AL","15. Complete Physical Therapy","Wed Jul 22 06:28:42 2020"
"Madison","AL","16. Neeley Center For Health - CLOSED","Wed Jul 22 06:28:42 2020"
"Madison","AL","17. Healthsource Chiropractic Of Huntsville-Providence","Wed Jul 22 06:28:42 2020"
"Madison","AL","18. Dr. Mick, ND, LAc, Acupuncture Natural Health Center","Wed Jul 22 06:28:42 2020"
"Madison","AL","19. Nesin Therapy Services","Wed Jul 22 06:28:42 2020"
"Madison","AL","20. HealthSource Chiropractic and Progressive Rehab","Wed Jul 22 06:28:42 2020"
"Madison","AL","21. Loren Dr. Hunter N.D. A.D.","Wed Jul 22 06:28:42 2020"
"Madison","AL","22. Dr Forsythe Cancer Care Center","Wed Jul 22 06:28:42 2020"
"Anchorage","AK","1. Lazarus Health & Wellness Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","2. Healing Therapeutics Health and Wellness Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","3. Rumsey Spinal Care","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","4. Alpenglow Pain & Wellness","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","5. Avalon Health & Wellness","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","6. Willow Medical & Wellness","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","7. Hillside Natural Wellness","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","8. Chugach Chiropractic Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","9. Excellence In Health Chiropractic & Rehab Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","10. Alaskan Natural Care Acupuncture Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","11. Adams Chiropractic Health Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","12. Total Health Clinics","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","13. Alaska Pain and Injury Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","14. Alaska Alternative Medicine Clinic LLC","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","15. Chugach Family Medicine Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","16. Acute Family Medicine Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","17. Wasilla Chiropractic Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","18. Cottonwood Creek Clinic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","19. Ellenburg Center For Natural Medicine Inc","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","20. Curzie Chiropractic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","21. Arctic Chiropractic","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","22. Natural Health Center","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","23. Frontier Therapy","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","24. Alaska Health Quest","Wed Jul 22 06:28:53 2020"
"Anchorage","AK","25. Dr Forsythe Cancer Care Center","Wed Jul 22 06:28:53 2020"
"Juneau","AK","1. Jamhi Health-Wellness Inc","Wed Jul 22 06:29:06 2020"
"Juneau","AK","2. East Care Acupuncture Clinic","Wed Jul 22 06:29:06 2020"
"Juneau","AK","3. Dr Forsythe Cancer Care Center","Wed Jul 22 06:29:06 2020"
"Juneau","AK","4. Women's Care Of Alaska","Wed Jul 22 06:29:06 2020"
"Juneau","AK","5. Alaska Clinical Infrared Thermography","Wed Jul 22 06:29:06 2020"
"Juneau","AK","6. Health & Social Svc-Ak Dept","Wed Jul 22 06:29:06 2020"
"Juneau","AK","7. State of Alaska","Wed Jul 22 06:29:06 2020"
"Juneau","AK","8. Casey Family Programs","Wed Jul 22 06:29:06 2020"
"Juneau","AK","9. HealthCare Considerations","Wed Jul 22 06:29:06 2020"
"Juneau","AK","10. Southeast AK Regional Health","Wed Jul 22 06:29:06 2020"
"Juneau","AK","11. Alaska Native Inter-Tribal","Wed Jul 22 06:29:06 2020"
"Juneau","AK","12. Providence Health System Laura","Wed Jul 22 06:29:06 2020"
"Juneau","AK","13. Jensen, Chris: Jensen, Chris","Wed Jul 22 06:29:06 2020"
"Juneau","AK","14. Alaska Native Health Consortium","Wed Jul 22 06:29:06 2020"
"Juneau","AK","AdWomen's Care Of Alaska","Wed Jul 22 06:29:06 2020"
"Fairbanks","AK","1. North Pole Wellness Clinic","Wed Jul 22 06:29:16 2020"
"Fairbanks","AK","2. Fairbanks Family Wellness","Wed Jul 22 06:29:16 2020"
"Fairbanks","AK","3. Soltice Medicine & Wellness","Wed Jul 22 06:29:16 2020"
"Fairbanks","AK","4. Woodland Wellness Center","Wed Jul 22 06:29:16 2020"
"Fairbanks","AK","5. Fairbanks Chiropractic Clinic","Wed Jul 22 06:29:16 2020"
"Fairbanks","AK","6. Fairbanks Chiropractic Clinic","Wed Jul 22 06:29:16 2020"
