stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,server_jobsListed,server_avgHourly,server_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,teacher_jobsListed,teacher_avgHourly,teacher_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
HI,Hawaii,NA,NA,NA,NA,NA,NA,NA,"570; 50 anatomy/physiology/kinesiology, 100 massage theory and procedures, 420 as an apprentice or in a school with 310 intern hours and a split of sanitation, record keeping, office procedures, and advanced techniques",NA,NA,yes,yes,yes,50,NA,NA,1,NA,NA,NA,NA,NA,yes,280,31,97500,574836.5625,80212,1420491,2,24.3,24.3,0.2,37.6,10.2,10.7,587,12.82729983,26680.78365,626,16.2841853,33871.10543,165,NA,NA,112,14.04464286,29212.85714,767,20.06820078,41741.85763,627,15.1919059,31599.16427,235,12.65957447,26331.91489,792,23.75315657,49406.56566,661,21,43680,722,22.38525963,46561.34003,433,49.74555316,103470.7506,797,38.75361982,104022.2465,621,16.45974235,80288.88789,123,32.5,67600,646,44.90145396,93395.02423,285,35.25438596,73329.12281,96,31.21875,64935,735,41.10986395,216923.6551,186,75,156000,111,75,156000,1369,342,1453,1321,1315,1420,1380,1501,203,83,2822.04,4898,2868.9
ID,Idaho,"Yes, by endorsement, $125 instead of $115, proof of state licensed and similar state requirements",yes,NA,NA,NA,NA,NA,"500; 200 massage practice of assessment and application, 125 anatomy/physiology/kinesiology, 40 pathology, 20 business/ethics, 110 clinical applications","yes, if new applicant and not being endorsed out of state",NA,yes,yes,yes,115,NA,NA,NA,12 weeks,NA,"6 anually, 1 in ethics","1, expires anually on applicant's birthday",NA,yes,368,37.25895317,30000,238004.3333,55583,1754208,0.7,89.9,3,1.3,1.5,0.2,12.7,663,10.05335596,20910.98039,686,15.04447115,31292.5,185,21.77272727,45287.27273,391,14.67519685,30524.40945,760,14.84407895,30875.68421,518,13.99491632,29109.42594,195,19.48076923,40520,752,15.72739362,32712.97872,530,18.52459016,38531.14754,694,24.54063886,51044.52882,189,33.65384615,70000,809,35.63003708,87226.03744,449,14.19470046,64921.24882,215,27.54975124,57303.48259,533,29.78727273,61957.52727,225,18.88888889,39288.88889,116,29.72297297,61823.78378,671,34.21997019,200629.6572,190,53.98736842,112293.7263,120,58.485,121648.8,1132,334,1138,683,779,980,807,1390,375,88,1253.6625,1474.616667,1331.05625
IL,Illinois,"Yes, by endorsement ",yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,NA,175,NA,NA,NA,NA,NA,NA,NA,yes,512,37.82348633,51341.99134,202689.3299,65030,12741080,14.1,71.7,2.7,0.3,5.6,0,17.3,718,12.00870474,24978.10585,718,15.74721448,32754.20613,462,38.88729017,80885.56355,490,17.92346939,37280.81633,785,17.54640764,36496.5279,651,13.63494624,28360.68817,398,19.76978643,41121.15578,771,18.0106939,37462.24332,736,25.42265625,52879.125,788,25.11259091,52234.18909,509,34.32223062,71390.23969,832,40.77239784,77275.46575,516,18.54411765,60879.48269,521,23.20964567,48276.06299,635,39.13741339,81405.81986,487,31.80872483,66162.14765,297,28.31592466,58897.12329,744,29.96118952,111769.7137,454,30.41089109,63254.65347,435,21.97953964,45717.44246,1458,997,1438,1085,1257,1266,1161,1815,893,261,2070.02381,3161.909483,2537.948413
IN,Indiana,NA,yes,NA,yes,yes,yes,NA,625; 500 before 7/1/2019,yes; and state exam,NA,yes,yes,yes,100,NA,NA,NA,NA,NA,NA,NA,yes,yes,394,33.28052699,70337.14485,125366.6875,55746,6691878,9.5,82.8,2.7,0.2,2.3,0.1,7.1,719,10.75504172,22370.48679,740,16.77010135,34881.81081,413,31.9915201,66542.36181,390,15.44666667,32129.06667,768,16.96693359,35291.22188,647,13.47140649,28020.5255,344,16.97674419,35311.62791,777,17.2240991,35826.12613,648,18.18917224,37833.47826,766,24.30295585,50550.14817,428,38.14866811,79349.22967,815,45.49912883,67591.00678,463,13.74017467,65131.82096,362,26.20221713,54500.61162,602,47.06778032,97900.98307,398,33.88994565,70491.08696,216,27.02314815,56208.14815,778,25.55857326,156892.4473,341,53.51359517,111308.2779,330,59.38888889,123528.8889,1257,657,1287,999,1158,1192,1141,1506,662,309,1116.214047,1559.85,1299.140468
IA,Iowa,NA,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,yes,357,32.18975904,43706.71277,129324.619,55955,3156145,3.6,90.2,2.2,0.4,2.5,0.1,6.1,708,10.70958333,22275.93333,708,15.13400424,31478.72881,287,28.36642599,59002.16606,378,12.33928571,25665.71429,773,17.03305304,35428.75032,592,13.52374296,28129.38537,145,14.60344828,30375.17241,768,17.01666667,35394.66667,653,23.54058193,48964.41041,710,19.16442646,39862.00704,280,33.65384615,70000,805,26.03119876,86950.26708,256,18.26716312,57223.64938,186,16.06287425,33410.77844,437,NA,NA,135,18.63636364,38763.63636,91,30.56593407,63577.14286,732,107.9853142,161998.5383,133,62.5,130000,93,60.22903226,125276.3871,1352,301,1223,967,981,980,956,1479,514,201,1137.460733,1400.178571,1229.842932
KS,Kansas,NA,yes,NA,NA,yes,yes,NA,500;,yes; state written exam required and MBLEX,NA,yes,yes,yes,NA,75,75,NA,NA,NA,no,2,NA,yes,433,32.20238095,54344.35115,152226.6338,58218,2911510,5.9,84,3.7,0.9,2.8,0.1,12,707,11.31152758,23527.97737,730,21.24962236,44199.2145,467,25.86991435,53809.42184,450,14.67222222,30518.22222,759,15.97440053,33226.7531,584,16.05736301,33399.31507,232,13.9612069,29039.31034,762,17.45650919,36309.53911,611,18.01987548,37481.341,766,24.44520172,50846.01958,428,40.07053498,83346.71277,803,29.90823163,80862.74346,455,19.63449192,58658.78242,192,16.86516854,35079.55056,656,30.84085779,64148.9842,436,20.25,42120,286,31.5,65520,685,18.52189781,111750.8737,364,61.11574074,127120.7407,262,62.5,130000,1248,558,1207,977,1039,1044,1069,4269,808,463,1117.125551,1495,1257.65859
KY,Kentucky,NA,yes,NA,yes,NA,NA,NA,"600; 125 anatomy/physiology, 200 massage/bodywork theory & technique, 200 business of massage therapy, 40 pathology, 35 at school discretion /electives",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,481,40.79201681,79538.04348,193124.3167,50247,4468402,7.9,86.7,2.4,0.2,1.5,0.1,3.6,715,10.87867133,22627.63636,726,14.32317493,29792.20386,288,25.48591549,53010.70423,371,14.43298969,30020.61856,784,15.99680485,33273.35408,600,13.725875,28549.82,300,14.6625,30498,767,15.91101695,33094.91525,615,19.79532443,41174.27481,694,21.99334994,45746.16787,285,32.76947284,68160.50351,812,39.01549877,88171.80139,467,16.72357143,71674.05973,260,24.35929648,50667.33668,651,49.05389401,102032.0995,298,25.66907514,53391.6763,123,24.46460177,50886.37168,747,28.96419009,195264.9518,130,61.92307692,128800,229,57.90322581,120438.7097,1075,276,1100,943,1012,915,940,4246,567,260,1107.777778,1594.190244,1289.843254
LA,Louisiana,"ye by endorsements; (see notes1 for item numbers)  If you have a current massage therapy license from another state which has been active for more than one year, you may be eligible for a Louisiana license through reciprocity. If seeking licensure in Louisiana through reciprocity, the education requirements of item 4 and National Exam requirements of Item 5 above are modified. Compliance with items 1, 2, 3 and 6 are required and in addition the following information must be provided:

A completed license verification from each state in which you have been issued a license. The applicant should contact each state board office to request the verification(s) of current or prior licensure be sent directly to LBMT, 2645 O'Neal Lane, bldg. C, Ste. E, Baton Rouge, LA  70816.
Documentation of passing a National Exam and/or MBLEx must be provided directly from the testing agency. Details relating to the exam (item #8, page 4), must be completed.
Official, original and certified transcript showing compliance with the educational requirements of the licensing state.",yes,NA,yes,NA,NA,NA,"500; 325 massage/bodywork theory and application, 125 anatomy/physiology, 50 electives/school expectations on ethics/business/CPR/discretionary course work",yes,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,160,38,76900,141609.8615,47905,4659978,32.4,61.7,2.3,0.6,1.6,0,5.1,697,9.916786227,20626.91535,713,11.31266756,23530.34853,235,16.15277778,33597.77778,225,11.44651163,23808.74419,732,13.78825137,28679.56284,624,12.2724359,25526.66667,70,12.67857143,26371.42857,767,14.79758801,30778.98305,552,23.07674419,47999.62791,722,24.81726807,51619.91759,125,36.61298878,76155.01667,827,33.19175333,101493.1771,339,15.09243902,90495.40909,85,15.55882353,32362.35294,517,42.62562814,88661.30653,351,17.32944915,36045.25424,60,31.5,65520,716,25.06407123,221589.0035,119,58,120640,45,62.5,130000,1149,346,1254,989,1096,950,1010,4698,528,389,1093.055263,1444.202166,1213.614474
ME,Maine,NA,yes,NA,NA,NA,NA,NA,"500; 120 anatomy/physiology/pathology, 100 clinical, and others in massage theory/practice, business, ethics, contraindications, etc.",yes,NA,yes,yes,yes,61,NA,NA,1,NA,NA,NA,NA,NA,yes,225,39.35227273,NA,301941.2667,55602,1338404,1.4,94.3,2.2,0.6,1.2,0,1.7,682,13.22507331,27508.15249,639,15.79342723,32850.32864,135,NA,NA,486,15.24570815,31711.07296,773,15.67335058,32600.56921,623,17.91540931,37264.05136,125,13.4,27872,780,20.11771154,41844.84,590,22.87474747,47579.47475,755,24.64156687,51254.45909,161,38.05736383,79159.31677,822,32.463309,75599.47689,255,18.50568182,75691.74757,186,40.01351351,83228.10811,529,38.43521127,79945.23944,217,NA,NA,73,29.69178082,61758.90411,720,37.5835,274041.1491,71,62.5,130000,85,62.5,130000,986,251,1207,712,950,1009,1046,2921,562,24,1888.090909,2400.714286,1957.681818
MD,Maryland,NA,yes,yes,yes,yes,yes,yes,600;,yes,NA,yes,yes,yes,300,NA,NA,1,NA,NA,NA,NA,NA,yes,781,49.68886044,65785.08322,207428.6596,83242,6042718,30,54.7,3.7,0.2,6.3,0.1,10.4,714,13.90266106,28917.53501,758,17.25511214,35890.63325,690,42.65289855,88718.02899,685,19.77335766,41128.58394,778,17.99154884,37422.42159,600,16.026625,33335.38,668,19.7747006,41131.37725,782,25.4834335,53005.54169,745,36.20996644,75316.7302,808,33.01847124,68678.42017,782,54.91881486,114231.1349,849,36.08448174,102442.3286,732,22.47394126,79972.01776,713,26.65077139,55433.60449,774,38.01357143,79068.22857,696,35.27227011,73366.32184,566,26.87014134,55889.89399,768,33.28190104,122230.3861,605,56.45211864,117420.4068,554,55,114400,1462,1381,1478,1436,1458,1439,1470,3016,1753,377,1810.39782,2654.832827,2184.219346
