stateAbbreviation,state,licenseByReciprocity,proofOtherOrAllStateLicense,stateResidencyProof,passportSizePhoto,driversLicensePhotoCopy,nameChangeProof,socialSecurityCopy,Hours,MBLEX_or_NCBTMB,goodHealthClearance,BoardBackgroundCheckFee,stateApplyingBackgroundCheck,DOJ_backgroundCheck,applicationCost,licensingCost,licenseRenewalFee,CPR_certification,licensingETA,healthReferences,CEU,timeLicenseValidYears,liabilityInsurance,schoolTranscripts,MBLEX_transcript,LMT_AvgJobsListed_IndeedFirst5pages,LMT_HourlyAvgPayRangeAdvertised_Indeed,LMT_AnualAvgPayAdvertised_Indeed,Zillow_2BR_10cityAverageHomeValue,median2018IncomeByState,total_state_population,percent_black,percent_white,percent_two_or_more,percent_Native_American,percent_Asian,percent_Pacific_Islander,percent_Latino,cashier_jobsListed,cashier_avgHourly,cashier_avgAnnualSalary,remote_jobsListed,remote_avgHourly,remote_avgAnnualSalary,personalTrainer_jobsListed,personalTrainer_avgHourly,personalTrainer_avgAnnualSalary,houseCleaner_jobsListed,houseCleaner_avgHourly,houseCleaner_avgAnnualSalary,warehouse_jobsListed,warehouse_avgHourly,warehouse_avgAnnualSalary,security_jobsListed,security_avgHourly,security_avgAnnualSalary,nanny_jobsListed,nanny_avgHourly,nanny_avgAnnualSalary,clerical_jobsListed,clerical_avgHourly,clerical_avgAnnualSalary,tutor_jobsListed,tutor_avgHourly,tutor_avgAnnualSalary,personal_assistant_jobsListed,personal_assistant_avgHourly,personal_assistant_avgAnualSalary,dataScientist_jobsListed,dataScientist_avgHourly,dataScientist_avgAnualSalary,nurses jobsListed,nurses avgHourly,nurses avgAnualSalary,personalAssistant jobsListed,personalAssistant avgHourly,personalAssistant avgAnualSalary,chiropractor jobsListed,chiropractor avgHourly,chiropractor avgAnualSalary,physicalTherapist jobsListed,physicalTherapist avgHourly,physicalTherapist avgAnualSalary,esthetician jobsListed,esthetician avgHourly,esthetician avgAnualSalary,medicalSpaEsthetician jobsListed,medicalSpaEsthetician avgHourly,medicalSpaEsthetician avgAnualSalary,medicalDoctor jobsListed,medicalDoctor avgHourly,medicalDoctor avgAnualSalary,yogaInstructor jobsListed,yogaInstructor avgHourly,yogaInstructor avgAnualSalary,pilatesInstructor jobsListed,pilatesInstructor avgHourly,pilatesInstructor avgAnualSalary,chiropractor_businessListings,wellness.clinic_businessListings,massage.spa_businessListings,yoga_businessListings,gym_businessListings,coffee_businessListings,health.food_businessListings,hair.salon_businessListings,tanning_businessListings,TwoBedroomApartment_Listings _10cities,Rent2BR2BA_MinPrice _10cities,Rent2BR2BA_MaxPrice _10cities,Rent2BR2BA_AvgPrice _10cities
HI,Hawaii,No,NA,NA,NA,NA,NA,NA,"570; 50 anatomy/physiology/kinesiology, 100 massage theory and procedures, 420 as an apprentice or in a school with 310 intern hours and a split of sanitation, record keeping, office procedures, and advanced techniques",NA,NA,yes,yes,yes,50,NA,NA,1,NA,NA,NA,NA,NA,yes,NA,279,31,46823.5,574836.5625,80212,1420491,2,24.3,24.3,0.2,37.6,10.2,10.7,571,12.38258317,25755.77299,757,61.51007266,127940.9511,125,NA,NA,83,14,29120,754,22.67947613,47173.31034,716,13.90209497,28916.35754,332,12.7439759,26507.46988,716,19.41759777,40388.60335,642,21.12149533,43932.71028,539,72.29519231,150374,557,50.60384615,105256,800,37.78200625,77794.76625,539,16.37827715,150374,596,56.25,117000,644,46,95680,280,105.5,219440,772,23.01683938,47875.02591,724,64.15400552,198434.8715,163,61.1196319,127128.8344,120,62.5,130000,1369,342,1454,1321,1315,1420,1380,1501,203,89,2567.487805,4465,2606.341463
ID,Idaho,"Yes;  by endorsement, $125 instead of $115, proof of state licensed and similar state requirements",yes,NA,NA,NA,NA,NA,"500; 200 massage practice of assessment and application, 125 anatomy/physiology/kinesiology, 40 pathology, 20 business/ethics, 110 clinical applications","yes, if new applicant and not being endorsed out of state",NA,yes,yes,yes,115,NA,NA,NA,12 weeks,NA,"6 anually, 1 in ethics","1, expires anually on applicant's birthday",NA,yes,yes,257,33.1547619,30000,238004.3333,55583,1754208,0.7,89.9,3,1.3,1.5,0.2,12.7,640,11.53460938,23991.9875,746,57.86025469,120349.3298,170,18.50806452,38496.77419,382,13.81767956,28740.77348,764,15.14753927,31506.88168,604,21.54837748,44820.62517,368,15.05298913,31310.21739,714,14.95242297,31101.03978,539,20.74768089,43155.17625,369,16.82692308,35000,301,NA,NA,789,36.53105196,82883.86559,369,15.38736264,35000,181,46.56626506,96857.83133,558,46.86449864,97478.15718,218,36.75,76440,331,18.34953704,38167.03704,727,77.95863136,204220.6327,180,52.24166667,108662.6667,135,53.55555556,111395.5556,1132,334,1153,683,779,980,807,1392,375,87,1281.468354,1527.698413,1380.373418
IL,Illinois,Yes; by endorsement ,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,NA,175,NA,NA,NA,NA,NA,NA,NA,yes,yes,542,31.74769373,54986.19669,202689.3299,65030,12741080,14.1,71.7,2.7,0.3,5.6,0,17.3,716,12.61103352,26230.94972,755,49.1794702,102293.298,488,39.86462882,82918.42795,490,16.4438172,34203.13978,795,18.00295597,37446.14843,741,16.77974359,34901.86667,536,19.53311567,40628.8806,737,18.99909091,39518.10909,705,30.48297872,63404.59574,545,27.15179238,56475.72816,524,47.0383321,97839.73077,823,42.37828068,72482.42163,545,19.60825688,56475.72816,440,49.84266667,103672.7467,680,53.54946237,111382.8817,435,26.72957317,55597.5122,540,19.67105263,40915.78947,764,68.09849476,127051.7016,421,39.06294537,81250.92637,393,33.56564246,69816.53631,1458,997,1443,1085,1257,1266,1161,1516,893,264,2038.700389,3166.545455,2510.896887
IN,Indiana,No,yes,NA,yes,yes,yes,NA,625; 500 before 7/1/2019,yes; and state exam,NA,yes,yes,yes,100,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,472,36.53292291,60448.01505,125366.6875,55746,6691878,9.5,82.8,2.7,0.2,2.3,0.1,7.1,735,11.40765306,23727.91837,756,73.12020503,152090.0265,368,24.76867816,51518.85057,404,15.20050761,31617.05584,798,15.54152882,32326.37995,735,14.82397959,30833.87755,433,15.69168591,32638.7067,712,14.92679073,31047.72472,647,27.94049459,58116.22875,429,28.31696829,58899.29404,484,51.78461538,107712,803,38.31897883,84477.9477,429,15.76748252,58899.29404,357,58.80893393,122322.5826,733,42.18438538,87743.52159,413,32.43090452,67456.28141,420,17.2186747,35814.84337,766,58.09024151,140868.4086,352,52.50710227,109214.7727,312,59.18350168,123101.6835,1257,657,1289,999,1158,1192,1141,1514,662,314,1121.911184,1560.228682,1298.09375
IA,Iowa,No,yes,NA,NA,NA,NA,NA,600;,yes,NA,yes,yes,yes,120,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,336,32.21861472,43416.66667,129324.619,55955,3156145,3.6,90.2,2.2,0.4,2.5,0.1,6.1,726,11.17598485,23246.04848,753,57.68177291,119978.0876,300,25.60344828,53255.17241,358,13.19688385,27449.51841,761,17.46963863,36336.84836,698,15.79375358,32851.00745,460,15.95108696,33178.26087,731,15.59514364,32437.89877,588,19.70748299,40991.56463,268,27.69764826,57611.10837,394,NA,NA,828,37.72382246,80296.34903,268,18.10542169,57611.10837,83,53.3,110864,563,35.035,72872.8,110,15.72058824,32698.82353,352,22.85950321,47547.76667,769,48.20416125,172339.0358,142,56.36267606,117234.3662,80,59.2,123136,1352,301,1228,967,981,980,956,1479,514,204,1129.139175,1410.755396,1226.033505
KS,Kansas,No,yes,NA,NA,yes,yes,NA,500;,yes; state written exam required and MBLEX,NA,yes,yes,yes,NA,75,75,NA,NA,NA,no,2,NA,yes,yes,450,32.53722084,45388.41573,152226.6338,58218,2911510,5.9,84,3.7,0.9,2.8,0.1,12,715,11.64143357,24214.18182,760,70.09621711,145800.1316,436,31.19438073,64884.31193,518,14.49463938,30148.8499,786,16.32551527,33957.07176,694,15.05824207,31321.14352,456,16.92434211,35202.63158,726,17.67095041,36755.57686,646,21.18920279,44073.5418,423,22.45874576,46714.19118,453,NA,NA,831,27.38132371,73468.44344,423,18.43266746,46714.19118,184,54.27118644,112884.0678,673,40.64705882,84545.88235,454,22.55701754,46918.59649,375,22.24482759,46269.24138,765,65.28413072,169178.8569,409,58.58190709,121850.3667,260,62.5,130000,1248,558,1207,977,1039,1044,1069,1427,808,471,1125.72885,1485.933511,1263.575922
KY,Kentucky,No,yes,NA,yes,NA,NA,NA,"600; 125 anatomy/physiology, 200 massage/bodywork theory & technique, 200 business of massage therapy, 40 pathology, 35 at school discretion /electives",yes,NA,yes,yes,yes,125,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,489,36.64621677,45319.79339,193124.3167,50247,4468402,7.9,86.7,2.4,0.2,1.5,0.1,3.6,709,10.69516925,22245.95205,751,67.77846205,140979.2011,304,36.08211679,75050.80292,444,13.20167064,27459.47494,779,16.1670154,33627.39204,742,17.22506739,35828.14016,521,15.08493282,31376.66027,714,14.43292717,30020.48852,640,22.06210938,45889.1875,514,32.58843796,67783.95096,312,32.70931174,68035.36842,824,35.81180218,70886.81908,514,15.19939271,67783.95096,346,30.2093609,62835.47068,681,47.35389134,98496.09398,297,44.9140625,93421.25,320,20.97309091,43624.02909,749,66.70725634,178085.4473,151,36.20860927,75313.90728,240,34.72222222,72222.22222,1075,276,1101,943,1012,915,940,1423,567,255,1109.299595,1606.736585,1298.765182
LA,Louisiana,"Yes; by endorsements; (see notes1 for item numbers)  If you have a current massage therapy license from another state which has been active for more than one year, you may be eligible for a Louisiana license through reciprocity. If seeking licensure in Louisiana through reciprocity, the education requirements of item 4 and National Exam requirements of Item 5 above are modified. Compliance with items 1, 2, 3 and 6 are required and in addition the following information must be provided:
A completed license verification from each state in which you have been issued a license. The applicant should contact each state board office to request the verification(s) of current or prior licensure be sent directly to LBMT, 2645 O'Neal Lane, bldg. C, Ste. E, Baton Rouge, LA  70816.
Documentation of passing a National Exam and/or MBLEx must be provided directly from the testing agency. Details relating to the exam (item #8, page 4), must be completed.
Official, original and certified transcript showing compliance with the educational requirements of the licensing state.",yes,NA,yes,NA,NA,NA,"500; 325 massage/bodywork theory and application, 125 anatomy/physiology, 50 electives/school expectations on ethics/business/CPR/discretionary course work",yes,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,188,42.04761905,42083.33333,141609.8615,47905,4659978,32.4,61.7,2.3,0.6,1.6,0,5.1,685,11.36843066,23646.33577,755,60.81804636,126501.5364,200,15.63157895,32513.68421,160,11.82857143,24603.42857,745,14.70201342,30580.18792,726,12.70682507,26430.19614,345,17.12602941,35622.14118,707,13.23833098,27535.72843,566,24.2270318,50392.22615,294,41.38389423,86078.5,220,NA,NA,820,39.24131098,106042.2621,294,13.45901639,86078.5,108,62.5,130000,630,53.83757962,111982.1656,321,17.22599638,35830.07246,335,18.27619048,38014.47619,706,65.12181303,214658.8385,103,49.44174757,102838.835,50,57.5,119600,1149,346,1254,989,1096,950,1010,1516,528,398,1096.159383,1445.255245,1217.218509
ME,Maine,No,yes,NA,NA,NA,NA,NA,"500; 120 anatomy/physiology/pathology, 100 clinical, and others in massage theory/practice, business, ethics, contraindications, etc.",yes,NA,yes,yes,yes,61,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,90,26.23529412,38500,301941.2667,55602,1338404,1.4,94.3,2.2,0.6,1.2,0,1.7,695,13.67410072,28442.1295,751,63.4129494,131898.9348,160,21.0625,43810,538,15.5165692,32274.46394,775,18.01076774,37462.3969,708,17.77224576,36966.27119,444,14.47747748,30113.15315,704,18.64772727,38787.27273,619,20.62520194,42900.42003,245,NA,NA,221,72.8125,151450,810,37.03070988,47143.46118,245,17.620625,NA,96,62.5,130000,671,37.92253521,78878.87324,205,17,35360,705,18.71161871,38920.16691,745,59.15704698,239809.9906,93,49.65591398,103284.3011,70,62.5,130000,986,251,1206,712,950,1009,1046,1468,562,24,1946.142857,2322.777778,2023.666667
MD,Maryland,No,yes,yes,yes,yes,yes,yes,600;,yes,NA,yes,yes,yes,300,NA,NA,1,NA,NA,NA,NA,NA,yes,yes,743,48.6090175,55778.57705,207428.6596,83242,6042718,30,54.7,3.7,0.2,6.3,0.1,10.4,710,13.03521127,27113.23944,742,53.77324798,111848.3558,707,35.38472419,73600.22631,698,15.65759312,32567.7937,792,17.86742424,37164.24242,781,19.16325224,39859.56466,702,24.19871795,50333.33333,756,20.82553571,43317.11429,734,37.7609673,78542.81199,729,33.65468008,70001.73457,799,57.88206743,120394.7003,843,43.12302491,95984.39798,729,18.98012346,70001.73457,665,64.60150376,134371.1278,746,54.01422156,112349.5808,697,37.84505022,78717.70445,553,17.37321937,36136.2963,793,52.97856242,122012.8632,610,55.83483607,116136.459,546,56.68726236,117909.5057,1462,1381,1474,1436,1458,1439,1470,1509,1753,371,1801.096685,2647.865854,2178.40884
